product_scope,market_date,institution_total_sv_18,detail_fields,detail_values,detail_sum,difference_sv_18_minus_detail_sum,sv_15_futures_quantity,classification
KOSPI200_CALL_U,20251103,500,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,530|-9|0|0|0|0|0|0,521,-21,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251104,-324,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-500|196|1|0|0|0|0|0,-303,-21,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251105,-1256,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1459|238|-1|0|0|0|0|0,-1222,-34,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251106,419,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,349|-9|0|0|6|0|0|0,346,73,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251107,-865,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-514|121|0|0|-6|0|0|0,-399,-466,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251110,-8431,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1416|-6859|0|0|0|0|0|0,-8275,-156,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251111,-7303,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-7054|-317|2|0|0|0|0|0,-7369,66,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251112,-9194,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-9282|17|0|0|-9|0|0|0,-9274,80,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251113,-33528,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-29801|-1004|19|-181|9|-860|0|0,-31818,-1710,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251114,-756,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,341|-1075|0|0|0|0|0|0,-734,-22,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251117,-277,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,344|-604|1|0|0|0|0|0,-259,-18,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251118,-802,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-425|-372|0|0|0|0|0|0,-797,-5,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251119,-140,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,178|-303|0|0|0|0|0|0,-125,-15,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251120,-443,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-88|-281|0|0|0|0|0|0,-369,-74,0,OPTION_SPECIFIC_SEMANTICS
